kirjastus_orig	kirjastus_standardized	N	min_time	max_time	min_time_st	max_time_st	standardizing_name	manual_verified
эстонское общество дружбы и культурных связей с зарубежными странами	эстонское общество дружбы и культурных связей с зарубежными странами	1	1965	1965	1965	1965	эстонское общество дружбы и культурных связей с зарубежными странами	""
эстонское общество кардиологов	эстонское общество кардиологов	1	2008	2008	2008	2008	эстонское общество кардиологов	""
эстонское общество костаби ;	эстонское общество костаби ;	4	1994	1995	1994	1995	эстонское общество костаби ;	""
эстонское общество просвещения	эстонское общество просвещения	1	1988	1988	1988	1988	эстонское общество просвещения	""
эстонское общество рассеянного склероза	эстонское общество рассеянного склероза	3	2000	2000	2000	2000	эстонское общество рассеянного склероза	""
эстонское общество рериха	эстонское общество рериха	1	1990	1990	1990	1990	эстонское общество рериха	""
эстонское общество садоводства и пчеловодства	эстонское общество садоводства и пчеловодства	1	1951	1951	1951	1951	эстонское общество садоводства и пчеловодства	""
эстонское общество семейных врачей	эстонское общество семейных врачей	1	2009	2009	2009	2009	эстонское общество семейных врачей	""
эстонское отделение общества психологов ссср :	эстонское отделение общества психологов ссср :	2	1983	1983	1983	1983	эстонское отделение общества психологов ссср :	""
эстонское отделение прибалтийской железной дороги	эстонское отделение прибалтийской железной дороги	1	1974	1974	1974	1974	эстонское отделение прибалтийской железной дороги	""
"эстонское отделение рппо """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""союзбланкоиздат"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	"эстонское отделение рппо """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""союзбланкоиздат"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	2	1990	1991	1990	1991	"эстонское отделение рппо ""союзбланкоиздат"	""
эстонское отделение филосовского общества ссср	эстонское отделение филосовского общества ссср	1	1988	1988	1988	1988	эстонское отделение филосовского общества ссср	""
эстонское отделение философского общества ссср	эстонское отделение философского общества ссср	1	1979	1979	1979	1979	эстонское отделение философского общества ссср	""
эстонское отделение центрального экономико математического института москвы	эстонское отделение центрального экономико математического института москвы	1	1972	1972	1972	1972	эстонское отделение центрального экономико математического института москвы	""
эстонское отделение цэми ан ссср	эстонское отделение цэми ан ссср	1	1973	1973	1973	1973	эстонское отделение цэми ан ссср	""
эстонское производственное объединение по геолого разведочным работам	эстонское производственное объединение по геолого разведочным работам	1	1990	1990	1990	1990	эстонское производственное объединение по геолого разведочным работам	""
эстонское производственное объединение рыбной промышленности	эстонское производственное объединение рыбной промышленности	1	1979	1979	1979	1979	эстонское производственное объединение рыбной промышленности	""
эстонское производственное управление рыбной промышленности	эстонское производственное управление рыбной промышленности	4	1962	1967	1962	1967	эстонское производственное управление рыбной промышленности	""
эстонское республиканское научно техническое горное общество	эстонское республиканское научно техническое горное общество	6	1961	1991	1961	1991	эстонское республиканское научно техническое горное общество	""
эстонское республиканское научно техническое общество водного транспорта	эстонское республиканское научно техническое общество водного транспорта	1	1958	1958	1958	1958	эстонское республиканское научно техническое общество водного транспорта	""
эстонское республиканское научно техническое общество машиностроительной промышленности	эстонское республиканское научно техническое общество машиностроительной промышленности	1	1960	1960	1960	1960	эстонское республиканское научно техническое общество машиностроительной промышленности	""
эстонское республиканское научно техническое общество нефтяной промышленности	эстонское республиканское научно техническое общество нефтяной промышленности	1	1956	1956	1956	1956	эстонское республиканское научно техническое общество нефтяной промышленности	""
эстонское республиканское научно техническое общество торговли	эстонское республиканское научно техническое общество торговли	1	1972	1972	1972	1972	эстонское республиканское научно техническое общество торговли	""
эстонское республиканское научное общество эпидемиологов микробиологов инфекционистов и гигиенистов	эстонское республиканское научное общество эпидемиологов микробиологов инфекционистов и гигиенистов	1	1967	1967	1967	1967	эстонское республиканское научное общество эпидемиологов микробиологов инфекционистов и гигиенистов	""
эстонское республиканское общество радиотехники и электросвязи	эстонское республиканское общество радиотехники и электросвязи	1	1963	1963	1963	1963	эстонское республиканское общество радиотехники и электросвязи	""
эстонское республиканское отделение воф	эстонское республиканское отделение воф	1	1978	1978	1978	1978	эстонское республиканское отделение воф	""
эстонское республиканское отделение музыкального фонда ссср	эстонское республиканское отделение музыкального фонда ссср	3	1954	1956	1954	1956	эстонское республиканское отделение музыкального фонда ссср	""
эстонское республиканское правление  нто приборостроительной промышленности	эстонское республиканское правление  нто приборостроительной промышленности	2	1970	1970	1970	1970	эстонское республиканское правление  нто приборостроительной промышленности	""
